word	context
不平	当年的特区，楼房破旧、灯不明、水常停、电话不通、道路～……但刘峰和最早的一帮“拓荒牛”们，凭着“一定要探索出一条路子来，一定要多办点实事，为改善人民生活作贡献”的信念，在这片沙丘地上开启了征程。
重名	这样一来，不仅与引进人才的初衷背道而驰，还会助长～轻实、好大喜功的不良风气。
平板	“程院士经常需要同时翻开多本资料查阅对比，这些～成了他研究学术问题、给学生授课讲解的临时书桌。”程院士的助手刘健说，这个特制的书柜，为的就是既要“书能装得多”，又要“书能摊开看”。
血气	“在保障医疗物资供给上，下一步将继续增加数量，加速释放新增产能，同时保证质量，加强产品质量监测。”连维良说，要应保尽保，将呼吸机、心电监护仪、～分析仪等医疗救治设备纳入物资保障范围。
小开	“大矿大开，小矿～”，环保设施不负重荷，大量重金属尾矿渣和选矿废水排下山，河流鱼虾绝迹，村民投诉不断。
百里	～不同风，千里不同俗。
非特	与“～”化妆品管理改革一样，如今，全面深化改革正在向越来越多的制度痼疾开刀。
重听	谢献萍当然对她印象深刻——虽然于海燕是第二期的学员，但是在第三期开课的时候，她又主动申请，～了一遍。
顶格	经调查取证，对建材城加工厂～处罚30万元，并督促其整改完毕。
转正	面对突如其来的疫情，中国坚持人民至上、生命至上，14亿人民上下一心，全国抗疫斗争取得重大战略成果，前三季度中国经济增长实现由负～，充分展现了中国经济的强大韧性和旺盛活力。
七七	80年代以后，一大批美术新秀，在1977年重新招生的美术教育中以～、七八两届学生为标志异军突起，此后更形成一个又一个青年美术群体，掀起一个又一个美术思潮。
信风	“浩渺行无极，扬帆但～。”疫情带给人们难以平复的冲击和悲痛，抗击疫情中显示出来的千磨万击还坚劲的韧性、越是艰险越向前的斗志，成为一笔宝贵财富，凝聚起踏平坎坷、矢志复兴的磅礴力量。
少时	和陶凤交一起种树的姐妹，多时有60多人，～20多人。
爆炒	成都人喜欢凉拌，要嫩一点的；北京顾客喜欢～，要稍长大一点的。
偏差	降幅看似并不高，但根据气象预测，预计冬季影响我国的冷空气弱、污染物扩散条件～，要实现这一目标并不容易。
马儿	和一般管护站不太一样，走进院子，不时听到～嘶鸣。
光棍	“飞沙走石家无粮，人老几辈住坯房，满村～无婆姨，有女不嫁海则梁。”这句顺口溜是对陕西省定边县海则梁乡昔日生活的真实写照。
环岛	武汉人老周在海南～游骑行经过布隆赛时，忍不住驻足。
都会	“中国的发展进步太快了，每次去～有新的发现。”他说，新中国成立70年来，人民生活水平大幅提高，科技领域取得巨大进步，特别是数字科技已走在世界前列。
窑子	工人从田中取泥，摔坯，割泥——用铁丝割泥，割出一块砖，割出一片瓦，再层层叠叠摞进～里烧。
黑头	“蜂蜜苹果”、丽川花椒、宁蒗～山羊等地方绿色农特产品品牌不断发展壮大。
青皮	辣椒要用牧马山的二荆条红辣椒，拌盐得是自贡岩盐，胡豆要用郫县二流板的～大白胡豆，甚至酱缸都得用四川仁寿的陶缸子。
三线	来自一家旅游平台的数据显示，长假期间，～及以下城市的酒店预订量同比增长超55%，大交通出票量同比增长超35%，增速均超过整体水平。
干粉	5日14时36分、6日13时41分，平度卢某寿、刘某礼等人雇车将张某美专门购买的105根木棍，含长1.8米的大锤把60根，长1.2米的镐把45根和8箱共计16个～灭火器及一袋腻子粉送至聚集现场。
低下	敌人打断了他的腿骨，打烂了他的皮肉，仍无法让铁骨铮铮的李硕勋～高贵的头颅。
为人	“科技～，以善天下”体现了OPPO对科技创新两个层次的思考：第一，OPPO以深层次关键技术为基础，升级自己的科技战略；第二，OPPO强调，科技只是手段，人才是根本。
中保	李克强表示，今年适逢～建交70周年，两国关系经得起国际风云变幻考验，始终保持健康稳定发展。
相亲	“国之交在于民～”，“一带一路”建设的一个重要方面就是民心相通。
光棍	看你那破房子，风来透风，雨来漏雨，还不赶紧翻修了找媳妇，想打一辈子～吗？
行者	“知者行之始，～知之成。”“九个坚持”的重要思想，具有很强的战略指导性和现实针对性，既是理论指导，更是行动指南。
葱白	新鲜的沙葱带白霜，几乎没有～。
恰恰	美方罔顾事实，对香港国安法和中国内政横加指责、干涉，～显示出其霸权行径，此举不仅破坏双方贸易关系，对其自身利益也是一种打击和损害。
下行	会议指出，稳健的货币政策要更加灵活适度，运用降准、降息、再贷款等手段，保持流动性合理充裕，引导贷款市场利率～。
故旧	在拥抱工业化和现代化的同时，一些本该保留的～建筑及历史风貌也逐渐消失了。
小数	或许你的奋斗只是点滴，但能映射出太阳的光辉，或许你的力量只是一个～，但乘以14亿，就会聚合筑梦中国的洪荒伟力。
靠背	曾经的焦渴，让村民吉毛才让记忆犹新：“吃水只能～，来回一趟两个小时，别说敞开洗漱了，就连做饭也得省着用。”吃窖水、常断水、难取水，困扰着乡亲们。
动静	中国的太极拳～相宜，蕴含着丰富的哲学思想，吸引了众多外国友人慕名学习。
公用	在台州，对非刚性、非重点项目支出压减幅度不低于5%，日常～经费支出定额压减10%，“三公”经费支出压减不低于5%，会议类、培训类、宣传类项目压减不低于25%。
度量	～衡器中，路县故城目前只发现用于称重的衡器——铁权。
摆好	村会议室门外有个露台，村民早早～了桌子，崭新的平板电视连上了刚装好的卫星接收器。
绿营	在回答关于台湾面包师吴宝春相关问题时，马晓光表示,吴师傅的声明表达的是正确的认知和正常的感情，而～政客和“台独”势力对他的疯狂围攻才是政治扭曲，才是政治迫害。
交点	“350公顷水稻，只要～服务费，从整地到收割，全程都不用自己操心咧。”今年，湖南省益阳市赫山区八一村村民龚明华把地托管给专业合作社，自己轻松了不少。
多事	曾经的省政务服务大厅“一次跑多窗”，变成了如今的“一窗办～”。
铜板	除此之外，壶身、壶嘴每部分的～材料，都需要精研细磨，大小是否合适、裁剪是否准确，没打过几百把壶，都很难把握其中的微妙变化。
身后	如今，他不仅住进了自家建的小楼，～还有一片支撑他全家长远发展的种植养殖基地。
粉丝	“我喝过很多啤酒，和其他啤酒相比，青岛啤酒香醇爽口，是我喝过最好喝的啤酒之一。”青岛啤酒的德国“～”科勒说。
粉丝	除了混双冰壶，本届冬奥会还增设单板滑雪大跳台、速度滑冰集体出发、高山滑雪团体赛等项目，颇有提升冬奥会观赏性、吸引年轻～的用意。
八字	聚焦全面建成小康社会的关键问题、打好三大攻坚战的重要问题，贯彻“巩固、增强、提升、畅通”～方针，深入推进供给侧结构性改革，努力形成一批高质量建言成果。
加点	与一般贷款不同的是，房贷利率实行“下限管理”——这其中有两个下限，一是央行确定的下限，即首套不低于LPR，二套不低于LPR加60个基点，二是央行省级分支机构指导市场利率定价自律机制确定的各地～下限。
杠杠	“我练完第二天全身肌肉都酸，但效果‘～的’。”徐莉佳说，从2月7日至今，她的健身小课堂已经推出20多期。
百里	～长廊尽美色，四季甘州无倦意。
土方	杨洁篪说，习近平主席与埃尔多安总统不久前在二十国集团领导人布宜诺斯艾利斯峰会期间成功会晤，就两国关系进一步发展达成重要共识，中方愿与～一道全面予以落实。
一头	原本一腔热情回村创业，不想被浇了～冷水，陈雨龙想撤了。
大节	过年是中华民族的传统～，从远古直到今天，一年又一年，循环往复，周而复始。
成行	在苏巴提鲜花农场的大棚里，多种颜色的玫瑰～排列，正含苞待放，穿着红色工服的园丁正在记录每一枝玫瑰的生长情况。
阴阳	2018年6月，中宣部等部门印发通知，加强对影视行业天价片酬、“～合同”、偷逃税等问题的治理，促进影视业健康发展。
不是	为笑而笑乃至胳肢人笑，～合格和典范的相声；寓庄于谐和寓教于乐，才是高格与艺术的相声。
千斤	2018年，项目完成水稻种植3.2万亩，亩产近～，受益农户450户，安东尼奥就是其中之一。
对数	每次使用后，伙计为方便统计账目，要用收款机再输入一次，每月做会计报表又要“～”。
动静	茂密的森林环绕着高耸的雪峰，蓝天白云下一眼望见悬崖古堡，悬崖下是绿蓝如翡翠的湖面，而湖心岛上的教堂、湖中游弋的白天鹅和野鸭～成趣，如油画般美丽悠远。
冬运	目前，国家速滑馆、～中心综合训练馆、北京冬奥村、国家高山滑雪中心、国家雪车雪橇中心等5个主要新建场馆，以及11项配套基础设施项目已开工建设。
忽悠	然而，在红红火火大发展的背后，体检行业中存在的管理不规范、过度体检、价格套餐“～”、医护人员不够专业等问题愈发凸显。
百里	俗话说：“～不同风，千里不同俗。”我国地域辽阔、民族众多，不同民族、不同地区都有自己的文化特色，这使中华文化表现出多样性。
平仓	混凝土浇筑后，需要进行～振捣。
明朝	中国驻俄大使李辉指出，正是～郑和的七下西洋，使中国的对外交往达到空前水平，在明代与俄罗斯也开始了交往。
排行	根据猎豹大数据此前发布的榜单，印度短视频应用软件下载量～前五中有三家来自中国，榜首为杭州趣维科技有限公司旗下的小影。
通达	走进村子，整洁的居民区，～的柏油路，一座座现代化的大棚，一个美丽乡村已见雏形。
小脚	冬天，放学回来的卡利娅鞋里常灌满雪水，“黄阔克”会用体温焐暖她的～……自小失去父亲的卡利娅，感受到了从未有过的父爱。
大班	绍兴～乱弹戏、越剧前身“的笃班”“小歌班”、婺剧，都是我在老乡们影响下喜欢的。
套路	实际上，很多人并没有意识到，～贷的根本目的不在于“吃利息”，而在于通过一步步设套，最终非法占有受害人的财产。
失地	村民们最终商定，将60%的土地补偿款集中用于发展村集体经济，为全村～农民就业与增收提供保障。
马儿	红的黑的白的～奔跑着，绿的粉的花的头巾随马起伏跳跃。
兜底	目前，巴州区建成标准化村卫生室382个，全科医生配到村，大病集中救治、重病～保障、慢病签约服务，让贫困群众告别看病难、看病贵。
苦水	最近，翼城汇丰学校的教师王琴琴主动申请到山区服务，消息一经传开，校长李和平的手机被打爆了，找上门的都是山区学校校长，有的说尽了好话，有的倒尽了～，都想争取这位省级骨干教师。
少时	我自幼喜爱书法篆刻，～拜刘博琴先生为师，后师从启功先生，多年来从事中国古代书法碑帖的编辑出版工作，工作之余进行书法、篆刻创作。
有种	韭菜尤好，～香甜。
大号	2018年，新媒体～“一条”和“十点读书”都开设了线下实体书店。
一面	一个支部就是一座堡垒，一名党员就是～旗帜。
土方	埃尔多安表示，～同样高度重视发展对华关系，愿同中方共同努力，不断深化各领域交流与合作，将两国关系提升到更高水平。
尝新	他还勇于～，把瓷胎竹编“搬”上了电商平台，最多的时候半个小时就卖了800个。
本行	1.～承诺对应聘者资料给予严格保密，并仅用于招聘工作。
引水	看到如此精妙的～工程，我不禁更加钦佩郭守敬的才识与能力。
首座	此前，这里作为上海市～社区体育场，相继为附近居民提供了足球场、篮球场、羽毛球馆、乒乓球房等场地和设施。
千万	如今，顺德全区综合营收超～的设计企业达8家。
刻下	【绝活看点】朱德祥专注微雕近60年，仅靠一台显微镜、一把刻刀，能在一平方毫米内雕刻25个字；曾在高7.5厘米、2厘米见方的印章侧面，～4.6万字的《论持久战》。
时序	采样期间还要面临月面高温工作环境，同时采样任务～紧张、机构动作多、不确定因素也很多。
基点	阿央行要求商业银行存款准备金上调5个～，降低信贷，同时开始调整债券结构向更长期限变化，要求银行撤回一部分央行短期债券，并再度降低银行美元的持有量5个百分点，市场外汇流动性得到改善。
二八	钟某为“心动打赏平台”代理，平时负责从各种渠道搜索色情视频后上传到平台，平台将其转为收费链接后，他再将链接发送到各个微信群中，所获利润与平台运营方～分成。
套路	广东省高级人民法院日前公布了四起“～贷”犯罪典型案例，48名被告人或上诉人分别被判处有期徒刑二十年至八个月。
明人	著有《春秋繁露》，～辑有《董子文集》。
大班	县高中多是七八十人～，师资紧张，设施简陋，没有操场，甚至没有教室用地。
自持	根据某些机构测算，目前，我国租赁住房约有1亿套，其中超过90%为个人出租，品牌公寓企业总占有率低于2%，开发商～经营的居住用房不足1%。
下流	“打埝很关键，别看这一下，如果处理不好，漆料沿着器皿～，这个胎骨就白做了。”一旁的师傅解释道。
假手	智能～同样是和肌肉运动有关的人工智能高科技医疗辅具。
看淡	它们珍惜所有的不期而遇，～所有的不辞而别。
触手	乡农惜物，不少人家的竹器颇有些年头，～世故而又温厚丰润。
预选	2019年1月3日，嫦娥四号探测器成功着陆在月球背面～着陆区，实现了人类探测器首次月背软着陆。
滴水	～之恩，涌泉相报，这是中华民族赓续千载的优良传统，也是流淌在中华民族血脉里的道德基因。
细毛	和脉翅目的草蛉、褐蛉不同的是，溪蛉的翅上不仅生有～，翅脉还把翅膀分成了无数薄窗。
肝胆	武警新疆总队医院～外科中心主任医师庄仕华扎根边疆47年，把爱的种子播撒到天山南北。
爱河	龙溪河治理带动更多群众养成～护河意识。
打药	冷凉少～，牛羊多粪肥，专种高端蔬菜。
美美	期待未来各国共同努力，携手共创和合之美，～与共。
音序	萧先生对此非常重视，1987年11月约定黄翔鹏、童忠良先生及徐桃英、顾伯宝工程师前往郑州，对这支骨笛进行～的测试。
感光	黄斑处有密集的～细胞，对于人的视力尤其是中心视力至关重要。
不快	改革开放40年来，珠海的建设和发展取得了辉煌成就，但也面临着经济结构不优、新动能培育～、城市体量偏小、人才总量不足等问题。
共聚	中国与53个非洲国家和非盟委员会领导人～北京，这是中非大家庭前所未有的大团圆。
咪咪	女的站起来一拐一瘸走到我身边，再递给我一颗猕猴桃说：“这是我们家的金蛋蛋，他是我的金蛋蛋，都是一颗红心呢。”我一时反应不过来，只觉得这猕猴桃～甜，甜得我不知道该说什么了。
套装	通过动员社会力量参与，该项目为入住援建新村的3000多户贫困户配套家电～，并为部分贫困户捐赠家具，让他们在新居里过上现代化的生活。
绿林	村里开展林下种植养殖，～之下，种上了魔芋、山药等，土鸡、跑山猪、蜜蜂养殖已成规模。
旧物	小区内部消化不了的～，物业公司统一设置回收点。
平板	此前，各家还在试图开发安卓车载系统，给汽车套上一个“～”外衣。
校本	她带领全体教师研读课程标准、编制～课程，使教学更契合学生需求。
盘口	该青铜四耳釜，～，直身，圜底。
要得	“材料越厚实，码放越齐整，字迹越工整，分数就越高”“上面～急，只好连续熬夜补材料，加班加点造痕迹”……这些话吐露出一些干部的真实心声。
皮质	“查验流程完成后，旅客可在检票闸机外的候车区稍事休息，等待登车。”记者来到舒适、宽敞的候车大厅，整齐的～座椅可容纳550名旅客，挑高的楼层设计充分采纳自然光，让等待也成为享受。
作对	旅客们闻着花香，品着佳酿，有的低声细语谈天说地，有的以月为题吟诗～，在古村赏新月，分外难忘。
二线	从总指数评分看，杭州、上海、武汉、深圳、北京、郑州居前六位，～城市在城市治理、公共服务等数字化发展方面与一线城市的差距不断缩小。
带子	每逢周末，携妻～的，呼朋唤伴的，游玩的人们慕名前来，欢声笑语充盈于山涧林泉。
门风	遇上夜间刮风，时时被～、窗风吹熄，家人只好进房间摸黑睡觉，进厨房摸黑盛饭。
入眼	如果你不曾来过春日的陇原，你不会知道～可以皆是深浅不一的土黄色。
光棍	因为名声不好，大队里的男人说不上媳妇，～多。
尖刀	在多次劝导、口头警告无效的情况下，许传宝拨打所里电话请求增援；汪某手持～朝许传宝猛刺两刀，造成许传宝急性失血性休克，经抢救无效壮烈牺牲，年仅44岁。
不对	据介绍，中国证监会～企业的质量、投资价值、投资者收益等做出判断。
双向	沿着新修的～两车道公路前行，两边植被茂密，椰林婆娑。
恰恰	而～是一些市场知名度不高的产品，往往为了抢占市场，在广告设计上打“擦边球”甚至有违法违规行为。
中肯	他说，蒙内铁路延长线——内马铁路一期建成通车，是又一件载入肯尼亚和非洲铁路建设史册的大事，是～、中非共建“一带一路”又一重大成果，诠释了中非“合作共赢、共同发展”时代主题。
生火	辛味发散泻肺，秋日宜收不宜散，应少吃辛辣的食物，以防止化热～，加重秋燥。
分则	“～力散，专则力全。”解决深度贫困问题，要充分发挥我们集中力量办大事的制度优势，整合各方资源打歼灭战。
吃口	“他们从全国各地来武汉为我们战斗，我们能做的就是尽量保证他们的物资需求，让医疗队～热乎饭，睡个安稳觉。”冯胜明说，对于医疗队提出的需求，他都想方设法满足。
教会	一个澡堂，除了解决村民洗澡难、培养讲卫生习惯，还～他们很多文明常识。
字号	为了更加贴近国外读者，特别是美国高校选修中文学科的本科生和研究生的阅读需求，丛书编者在选目、翻译、编纂乃至开本大小、字体～、封面设计等各个方面都下了不少功夫。
枉顾	所谓大数据“杀熟”，根子在于一些不良商家～道德与法律铤而走险。
市道	武汉市公安局武昌区交通大队参与多条高速、省道、～及区级道路疫情阻击检查站点昼夜执勤，有的还参与全区医疗隔离点、方舱医院等昼夜24小时交通执勤管控。
